ending0003_f title	Fall Willingly to Vice
ending0003_f line Text01	The failures in the exam ended your opportunity to keep learning in the Pavilion.
ending0003_f line Text02	You return the Emblem to Mu Renxin. He lets out a cold "Hmph" and doesn't look at you once.
ending0003_f line Text03	Later, you bid farewell to your friends and start on your path home.
ending0003_f line Text04	On the slow moving boat you look at the Pavilion.
ending0003_f line Text05	You're not satisified.
ending0003_f line Text06	Why weren't you the one to pass the exam? Is your talent worse than the others?
ending0003_f line Text07	After some time, discontent with fate, you start on the path of no return.
ending0003_f line Text08	"Walking the path of Xia" is nothing but a joke.
ending0003_f line Text09	You start to abuse the skills you've learned in the Pavilion and commit crimes.
ending0003_f line Text10	You form a group with other students who also failed.
ending0003_f line Text11	Years later, you run into your old classmates who have been succesful.
ending0003_f line Text12	They didn't come to reminicse about the past, but to follow the Master's orders to stop you.
ending0003_f line Text13	
ending0003_f line Text14	"Ha! Come at me then! Let me see what the Xia Pavilion has!"
ending0003_m title	Fall Willingly to Vice
ending0003_m line Text01	The failures in the exam ended your opportunity to keep learning in the Pavilion.
ending0003_m line Text02	You return the Emblem to Mu Renxin. He lets out a cold "Hmph" and doesn't look at you once.
ending0003_m line Text03	Later, you bid farewell to your friends and start on your path home.
ending0003_m line Text04	On the slow moving boat, you look at the Pavilion.
ending0003_m line Text05	You're not satisified.
ending0003_m line Text06	Why weren't you the one to pass the exam? Is your talent worse than the others?
ending0003_m line Text07	After some time, discontent with fate, you start on the path of no return.
ending0003_m line Text08	"Walking the path of Xia" is nothing but a joke.
ending0003_m line Text09	You start to abuse the skills you've learned in the Pavilion and commit crimes.
ending0003_m line Text10	You form a group with other students who also failed.
ending0003_m line Text11	Years later, you run into your old classmates who have been succesful.
ending0003_m line Text12	They didn't come to reminicse about the past, but to follow the Master's orders to stop you.
ending0003_m line Text13	
ending0003_m line Text14	"Ha! Come at me then! Let me see what the Xia Pavilion has!"
ending0004_f title	Losing Control
ending0004_f line Text01	A lapse in judgement momentarily earned you the end of your road.
ending0004_f line Text02	Pushing yourself too hard to reach the pinnacle, only to find yourself falling into the infinite depths.
ending0004_f line Text03	In a wave of sorrow, your Masters and classmates bury you, erect your gravestone, and visit you yearly.
ending0004_f line Text04	Your story becomes a tale of caution for new disciples.
ending0004_f line Text05	Even years later, when people stop visiting,
ending0004_f line Text06	maybe some people will walk by the dilapidated Pavilion, to your grave, and sigh.
ending0004_m title	Losing Control
ending0004_m line Text01	A lapse in judgement momentarily earned you the end of your road.
ending0004_m line Text02	Pushing yourself too hard to reach the pinnacle, only to find yourself falling into the infinite depths.
ending0004_m line Text03	In a wave of sorrow, your Masters and classmates bury you, erect your gravestone, and visit you yearly.
ending0004_m line Text04	Your story becomes a tale of caution for new disciples.
ending0004_m line Text05	Even years later, when people stop visiting,
ending0004_m line Text06	maybe some people will walk by the dilapidated Pavilion, to your grave, and sigh.
ending0005_f title	Path of Dust
ending0005_f line Text01	Since enrolling in the Pavilion, your ideals have been challenged.
ending0005_f line Text02	You always questioned yourself, will you be able to reach the end?
ending0005_f line Text03	These doubts fall away at the last moment of your life.
ending0005_f line Text04	The one to walk to the end doesn't have to be yourself.
ending0005_f line Text05	Turning into dust, you make the path more solid, for those that come after.
ending0005_f line Text06	This is why you fought without regret, with everything, until your death.
ending0005_f line Text07	In a wave of sorrow, your Masters and classmates bury you, erect your gravestone, and visit you yearly.
ending0005_f line Text08	Your story later becomes a tale of inspiration.
ending0005_f line Text09	Even years later, when people stop visiting,
ending0005_f line Text10	maybe some people will walk by the dilapidated Pavilion, to your grave, and sigh.
ending0005_m title	Path of Dust
ending0005_m line Text01	Since enrolling in the Pavilion, your ideals have been challenged.
ending0005_m line Text02	You always questioned yourself, will you be able to reach the end?
ending0005_m line Text03	These doubts fall away at the last moment of your life.
ending0005_m line Text04	The one to walk to the end doesn't have to be yourself.
ending0005_m line Text05	Turning into dust, you make the path more solid, for those that come after.
ending0005_m line Text06	This is why you fought without regret, with everything, until your death.
ending0005_m line Text07	In a wave of sorrow, your Masters and classmates bury you, erect your gravestone, and visit you yearly.
ending0005_m line Text08	Your story later becomes a tale of inspiration.
ending0005_m line Text09	Even years later, when people stop visiting,
ending0005_m line Text10	maybe some people will walk by the dilapidated Pavilion, to your grave, and sigh.
ending0006_f title	Annihilation
ending0006_f line Text01	Blades cross, bodies fall,
ending0006_f line Text02	in this fight for survival, no one held back.
ending0006_f line Text03	You see a weapon flash before you, a cool touch to your chest, then pain. You fall powerless to your knees.
ending0006_f line Text04	You feel a warmth in your palm. It is your blood.
ending0006_f line Text05	You hear screams of rage, cries of pain, howls of regret.
ending0006_f line Text06	You laugh bitterly at the situation.
ending0006_f line Text07	As your consciousness fades, you realize everything is ridiculous.
ending0006_f line Text08	In this fight of beliefs, is this the end?
ending0006_f line Text09	Darkness falls as you close your eyes, you sink into the abyss.
ending0006_f line Text10	In the unknown future, everything settles.
ending0006_f line Text11	Years later, a kind soul wanders to this dilapidated Pavilion,
ending0006_f line Text12	and buries you along with all the bodies. In front of the mass grave, they sigh.
ending0006_m title	Annihilation
ending0006_m line Text01	Blades cross, bodies fall,
ending0006_m line Text02	in this fight for survival, no one held back.
ending0006_m line Text03	You see a weapon flash before you, a cool touch to your chest, then pain. You fall powerless to your kness.
ending0006_m line Text04	You feel a warmth in your palm. It is your blood.
ending0006_m line Text05	You hear screams of rage, cries of pain, howls of regret.
ending0006_m line Text06	You laugh bitterly at the situation.
ending0006_m line Text07	As your consciousness fades, you realize everything is ridiculous.
ending0006_m line Text08	In this fight of beliefs, is this the end?
ending0006_m line Text09	Darkness falls as you close your eyes, you sink into the abyss.
ending0006_m line Text10	In the unknown future, everything settles.
ending0006_m line Text11	Years later, a kind soul wanders to this dilapidated Pavilion,
ending0006_m line Text12	and buries you along with all the bodies. In front of the mass grave, they sigh.
ending0007_f title	Beyond Salvation
ending0007_f line Text01	Automatons laid siege to the Pavilion, corpse zombies are all over the mountain,
ending0007_f line Text02	that Abyssal Palace leader, like a wraith, left only severed limbs and arms behind.
ending0007_f line Text03	Facing the inhuman monster by her side, even the battle-tested Masters could only fall victim to its blade.
ending0007_f line Text04	You're on your knees, on the ground, powerless. Your body, filled with wounds and bruises, is no longer in control.
ending0007_f line Text05	In your fading mind, you can only see the Abyssal Palace leader's face, cold as ice,
ending0007_f line Text06	and Ling Wujue's pale ash-like face behind the white veil.
ending0007_f line Text07	They chat, lightly, but all you can hear are the roar and screams from your peers, mixed with corpse zombies' wild evil laughter.
ending0007_f line Text08	There are only hatred and madness in this destined battlefield.
ending0007_f line Text09	A sword flashes, and it is the end. You can only close your eyes to embrace this irreversible fate.
ending0007_f line Text10	In the unknown future, everything settles.
ending0007_f line Text11	Years later, a kind soul wanders into this dilapidated Pavilion,
ending0007_f line Text12	and buries you along with all the bodies. In front of the mass grave, they sigh.
ending0007_m title	Beyond Salvation
ending0007_m line Text01	Automatons laid siege to the Pavilion, corpse zombies are all over the mountain,
ending0007_m line Text02	that Abyssal Palace leader, like a wraith, left only severed limbs and arms behind.
ending0007_m line Text03	Facing that inhuman monster by her side, even the battle-tested Masters could only fall victim to its blade.
ending0007_m line Text04	You're on your knees, on the ground, powerless. Your body, filled with wounds and bruises, is no long in control.
ending0007_m line Text05	In your fading mind, you can only see the Abyssal Palace leader's face, cold as ice,
ending0007_m line Text06	and Ling Wujue's pale ash-like face behind the white veil.
ending0007_m line Text07	They chat, lightly, but all you can hear are the roar and screams from your peers, mixed with corpse zombie's wild evil laughter.
ending0007_m line Text08	There are only hatred and madness in this destined battlefield.
ending0007_m line Text09	A sword flashes, and it is the end. You can only close your eyes to embrace this irreversible fate.
ending0007_m line Text10	In the unknown future, everything settles.
ending0007_m line Text11	Years later, a kind soul wanders to this dilapidated Pavilion,
ending0007_m line Text12	and buries you along with all the bodies. In front of the mass grave, they sigh.
ending0008_f title	A dream in the Pavilion
ending0008_f line Text01	The days you spend studying in the Xia Pavilion faded like a pipe dream.
ending0008_f line Text02	After you were escorted to the capital, the Embroidered Guard locked your group into the royal prison and interrogated you for days and nights,
ending0008_f line Text03	but none were willing to confess to the false crime of human trafficking.
ending0008_f line Text04	As the time goes on, under the delusion of the Craft Queen, the Emperor considered removing the Xia Pavilion and the Sky Stealer Fort all together.
ending0008_f line Text05	With all lives hanging by a thread, Chu Tianabi confessed to the charges, took all the responsibility,
ending0008_f line Text06	and traded his own life in exchange for mercy, and for everyone who lived in the Pavilion.
ending0008_f line Text07	The Xia Pavilion and the Sky Stealer Fort were dissolved under the imperial order. You, as well as the imprisoned Masters and peers
ending0008_f line Text08	were all disarmed and maimed, and exiled to remote provinces to serve your sentence in labor camps.
ending0008_f line Text09	However, the imperial court could not have forseen that the remnant of the Xia Pavilion, led by Duan Xiaolie, would rescue you in the following dozen years
ending0008_f line Text10	and organize the Heaven Rebellion with the Southern sects against the imperial court and Northern sects under their command, igniting the world in a rebellious flame.
ending0008_f line Text11	And this unrest that would soon shock the wulin, would add the first fuel to this sweeping flame...
ending0008_m title	A dream in the Pavilion
ending0008_m line Text01	The days you spend studying in the Xia Pavilion faded like a pipe dream.
ending0008_m line Text02	After you were escorted to the capital, the Embroidered Guard locked your group into the royal prison and interrogated you for days and nights,
ending0008_m line Text03	but none were willing to confess to the false crime of human trafficking.
ending0008_m line Text04	As the time goes on, under the delusion of the Craft Queen, the Emperor considered removing the Xia Pavilion and the Sky Stealer Fort all together.
ending0008_m line Text05	With all lives hanging by a thread, Chu Tianabi confessed to the charges, took all the responsibility,
ending0008_m line Text06	and traded his own life in exchange for mercy, and for everyone who lived in the Pavilion.
ending0008_m line Text07	The Xia Pavilion and the Sky Stealer Fort were dissolved under the imperial order. You, as well as the imprisoned Masters and peers
ending0008_m line Text08	were all disarmed and maimed, and exiled to remote provinces to serve your sentence in labor camps.
ending0008_m line Text09	However, the imperial court could not have forseen that the remnant of the Xia Pavilion, led by Duan Xiaolie, would rescue you in the following dozen years
ending0008_m line Text10	and organize the Heaven Rebellion with the Southern sects against the imperial court and Northern sects under their command, igniting the world in a rebellious flame.
ending0008_m line Text11	And this unrest that would soon shock the wulin, would add the first fuel to this sweeping flame...
ending0101_f title	Blue sea and clear sky
ending0101_f line Text01	Duan Xiaolie and his disciple left the Xia Pavilion with blood and flame under their steps,
ending0101_f line Text02	just like the blood-stained, yet unwavering south mountain's bamboo.
ending0101_f line Text03	They claim they are justice, crusading on a short path filled with corpses and blood.
ending0101_f line Text04	We must stop this catastrophe veiled as justice that will soon be spread across the wulin.
ending0101_f line Text05	It might be fast to achieve peace, by stopping killing with killing, but that is definitely not a long-term solution.
ending0101_f line Text06	That is because in this world, there are only few absolute good and evil.
ending0101_f line Text07	Mostly, there are just conflicts of standpoints, based on desire and distrust amongst the people.
ending0101_f line Text08	If we can dissolve the standpoints, remove the estrangement, how many people would be unquestionably evil?
ending0101_f line Text09	Only by letting people open their hearts and understand eachother can the continuation of this hatred be truly ended.
ending0101_f line Text10	Lead the Wulin to become a peaceful world that treats people with kindness. 
ending0101_f line Text11	
ending0101_f line Text12	When  the dust settles, the work of rebuilding the Xia Pavilion begins.
ending0101_f line Text13	You can't help feeling sad, about the destruction of what you knew, but you raise your head,
ending0101_f line Text14	and you see those who share the same mind, working hard for the future wulin.
ending0101_f line Text15	How can you stagnate here?
ending0101_f line Text16	You look at the gateway, it reminds you of when your comrade and Master left,
ending0101_f line Text17	those regretless silhouette, drenched in the blood-like scarlet, of the flame of combat and the setting sun...
ending0101_f line Text18	... Right, no matter how much you have lost, and what more you will need to face,
ending0101_f line Text19	you must not hold your steps back.
ending0101_f line Text20	Everything is for not letting the hope of ending all conficts wither here.
ending0101_m title	Blue sea and clear sky
ending0101_m line Text01	Duan Xiaolie and his disciple left the Xia Pavilion with blood and flame under their steps,
ending0101_m line Text02	just like the blood-stained, yet unwavering south mountain's bamboo.
ending0101_m line Text03	They claim they are justice, crusading on a short path filled with corpses and blood.
ending0101_m line Text04	We must stop this catastrophe veiled as justice that will soon be spread across the wulin.
ending0101_m line Text05	It might be fast to achieve peace, by stopping killing with killing, but that is definitely not a long-term solution.
ending0101_m line Text06	That is because in this world, there are only few absolute good and evil.
ending0101_m line Text07	Mostly, there are just conflicts of standpoints, based on desire and distrust amongst the people.
ending0101_m line Text08	If we can dissolve the standpoints, remove the estrangement, how many people would be unquestionably evil?
ending0101_m line Text09	Only by letting people open their hearts and understand eachother can the continuation of this hatred be truly ended.
ending0101_m line Text10	Lead the Wulin to become a peaceful world that treats people with kindness. 
ending0101_m line Text11	
ending0101_m line Text12	When the dust settles, the work of rebuilding the Xia Pavilion begins.
ending0101_m line Text13	You can't help feeling sad, about the destruction of what you knew, but you raise your head,
ending0101_m line Text14	and you see those who share the same mind, working hard for the future wulin.
ending0101_m line Text15	How can you stagnate here?
ending0101_m line Text16	You look at the gateway, it reminds you of when your comrade and Master left,
ending0101_m line Text17	those regretless silhouette, drenched in the blood-like scarlet, of the flame of combat and the setting sun...
ending0101_m line Text18	... Right, no matter how much you have lost, and what more you will need to face,
ending0101_m line Text19	you must not hold your steps back.
ending0101_m line Text20	Everything is for not letting the hope of ending all conficts wither here.
ending0102_f title	Blazing Sun, Scorching Sky
ending0102_f line Text01	「To accomplish great things, you must cast aside more than others」
ending0102_f line Text02	Those were Duan Xiaolie's last words as he left the mountain.
ending0102_f line Text03	Those words too, lifted the curtain for the blood bath that will sweep across the wulin.
ending0102_f line Text04	As long as evil runs rampant, the blazing inferno will continue to burn against evil.
ending0102_f line Text05	Remeber those fools who call themselves Xia, selfishly pursuing their hollow ideals.
ending0102_f line Text06	Perhaps they are what Chu Tianabi said they are, white plum standing above the snow.
ending0102_f line Text07	But because of that, they can never realize they fail to see the true suffering in this world.
ending0102_f line Text08	This ends now.
ending0102_f line Text09	From now on, killing will stop killing, fear will bring hope.
ending0102_f line Text10	All the killing and hate, we will bear on our shoulders.
ending0102_f line Text11	In vanquishing evil, there is no room for doubt.
ending0102_f line Text12	
ending0102_f line Text13	When the dust settles, everyone followed Duan Xiaolie into the blood red sunset.
ending0102_f line Text14	At that moment, amongst the flame of war, a breeze carried along a few white plums.
ending0102_f line Text15	"Don't look back" "Those are what we have casted aside."
ending0102_f line Text16	Duan Xiaolie's blood red silhouette is firm and determined.
ending0102_f line Text17	Faces of those comrades who shares your ideal, show no regret on their faces.
ending0102_f line Text18	......indeed, this is the path we've chosen.
ending0102_f line Text19	No matter what we have casted aside in the past, no matter what we must face in the future.
ending0102_f line Text20	Right now, we cannot stop.
ending0102_f line Text21	All of this is to lead this chaotic world onto a right path.
ending0102_m title	Blazing Sun, Scorching Sky
ending0102_m line Text01	「To accomplish great things, you must cast aside more than others」
ending0102_m line Text02	Those were Duan Xiaolie's last words as he left the mountain.
ending0102_m line Text03	Those words too, lifted the curtain for the blood bath that will sweep across the wulin.
ending0102_m line Text04	As long as evil rampant, the blazing inferno will continue to burn against evil.
ending0102_m line Text05	Remeber those fools who call themselves Xia, selfishly pursuing their hollow ideals.
ending0102_m line Text06	Perhaps they are what Chu Tianabi said they are, white plum standing above the snow.
ending0102_m line Text07	But because of that, they can never realize they fail to see the true suffering in this world.
ending0102_m line Text08	This ends now.
ending0102_m line Text09	From now on, killing will stop killing, fear will bring hope.
ending0102_m line Text10	All the killing and hate, we will bear on our shoulders.
ending0102_m line Text11	In vanquishing evil, there is no room for doubt.
ending0102_m line Text12	
ending0102_m line Text13	When the dust settles, everyone followed Duan Xiaolie into the blood red sunset.
ending0102_m line Text14	At that moment, amongst the flame of war, a breeze carried along a few white plums.
ending0102_m line Text15	"Don't look back" "Those are what we have casted aside."
ending0102_m line Text16	Duan Xiaolie's blood red back is firm and determined.
ending0102_m line Text17	Faces of those comrades who shares your ideals shows no regret on their faces.
ending0102_m line Text18	......indeed, this is the path we've chosen.
ending0102_m line Text19	No matter what we have casted aside in the past, no matter what we must face in the future.
ending0102_m line Text20	right now, we cannot stop.
ending0102_m line Text21	All of this is to lead this chaotic world onto a right path.
ending0104_f cinematic Text (0)	"——Ling'er, think no more of this place"
ending0104_f cinematic Text (1)	".......yes, mother.                                                                 NEWLINENEWLINENEWLINE
ending0104_f cinematic Text (2)	                          Flying squid, will need to be avenged."NEWLINENEWLINENEWLINE
ending0104_f cinematic Text (3)	NEWLINENEWLINENEWLINE"Us who have no place in this world, must......see our wish fulfilled."
ending0104_m cinematic Text (0)	"——Ling'er, think no more of this place"
ending0104_m cinematic Text (1)	".......yes, mother.                                                                 NEWLINENEWLINENEWLINE
ending0104_m cinematic Text (2)	                          Flying squid, will need to be avenged."NEWLINENEWLINENEWLINE
ending0104_m cinematic Text (3)	NEWLINENEWLINENEWLINE"Us who have no place in this world, must......see our wish fulfilled."
ending0105_f title	Wander of the Sky
ending0105_f line Text01	Everyone knows it well,
ending0105_f line Text02	The end of Abyssal Palace, is only the end of one single tragedy.
ending0105_f line Text03	Entangled resentment, devouring desire,
ending0105_f line Text04	and.. indecisive ideal,
ending0105_f line Text05	This is the part of the nature of Jianghu, they will never disappear. 
ending0105_f line Text06	So long as this stage continues to exist,no matter if it's bitter or sweet, this play will continue.
ending0105_f line Text07	You admire those who still play their role, defend their own ideology, on this stage,
ending0105_f line Text08	but you also warn yourself, trapping yourself inside a cocoon, shall not be your lines.
ending0105_f line Text09	You bid farewell to Masters and peers, you feel your steps swift as the wind, and your heart open as the plains.
ending0105_f line Text10	From now on, you would be humming your own tune, wandering in this Jianghu,
ending0105_f line Text11	sometimes you want to watch the purple haze of the Xianglu Peak, sometimes you want to view the golden sand of the desert.
ending0105_f line Text12	No matter how far people were seperated by their ideologies,
ending0105_f line Text13	for you, they are close in your heart.
ending0105_m title	Wander of the sky
ending0105_m line Text01	Everyone knows it well,
ending0105_m line Text02	the end of Abyssal Palace, is only the end of one single tragedy.
ending0105_m line Text03	Entangled resentment, devouring desire,
ending0105_m line Text04	and.. indecisive ideals,
ending0105_m line Text05	are the nature of this Jiahu, they would never disappear. 
ending0105_m line Text06	So long as this stage continue to exist,no matter if it's bitter or sweet, this play will continue.
ending0105_m line Text07	You admire those, who still play their role, defend their own ideology, on this stage,
ending0105_m line Text08	but you also warn yourself, trapping yourself inside a cocoon, shall not be your lines.
ending0105_m line Text09	You bid farewell to Masters and peers, you feel your steps swift as the wind, and your heart open as a plain.
ending0105_m line Text10	From now on, you would be humming your own tune, wandering in this Jianghu,
ending0105_m line Text11	sometimes you watch the purple haze of the Xianglu Peak, sometimes you overlook the golden sand of desert.
ending0105_m line Text12	No matter how far people were seperated by their ideologies,
ending0105_m line Text13	for you, they are still close in your heart.
ending0106f_in0209dead title	Turning the tide
ending0106f_in0209dead line Text01	The belief to eliminate the evil, the ideology to save the world,
ending0106f_in0209dead line Text02	these are so remote, for most of the martial artist in this Jianghu,
ending0106f_in0209dead line Text03	In this Jianghu, what they seek, is the daring in delivering vengeance and justice,
ending0106f_in0209dead line Text04	and the joy of finding a soulmate by chance on the trip.
ending0106f_in0209dead line Text05	The Xia Pavilion, is different,
ending0106f_in0209dead line Text06	The Masters, wish that we would give more value to our martial art,
ending0106f_in0209dead line Text07	The disciples, search their own standard in the world during their study in the Pavilion.
ending0106f_in0209dead line Text08	They would not turn back,when they seek their ideals, and devote themselves in their ideology, 
ending0106f_in0209dead line Text09	yet, they usually did not expect, what they would lose, on these dehumanizing paths.
ending0106f_in0209dead line Text10	Or, they already knew, but decided to leave it all behind to achieve their aim, no matter the cost...
ending0106f_in0209dead line Text11	No, Xia, should not be like this.
ending0106f_in0209dead line Text12	When ideologies, become a blade that tears through bonds, you already have an answer in your heart:
ending0106f_in0209dead line Text13	Even if it would deny what people believe in, you will stop this blade at all cost,
ending0106f_in0209dead line Text14	After that, you will gather others strength, take care of eachother, and defend eachother from the evil of the world.
ending0106f_in0209dead line Text15	No mountain would refuse dust to build its height, an ocean gathers every stream to make it wide,
ending0106f_in0209dead line Text16	You would drink together by the Poyang Lake, share one boat in tides and rain.
ending0106f_in0209dead line Text17	No matter what kind of ordeal will be ahead of you, 
ending0106f_in0209dead line Text18	you will be helping eachother, and facing together.
ending0106f_in0209dead line Text19	This is the Xia Pavilion.
ending0106f_in0209dead line2 Text21 (1)	Path of WuXia
ending0106f_in0209dead line2 Text21 (2)	Path of WuXia
ending0106f_in0209dead line2 Text21 (3)	Path of WuXia
ending0106f_in0209dead line2 Text20	And this is what you would defend, no matter the cost,
ending0106f_in0209dead line2 Text21	Path of WuXia
ending0106f_in0209dead line2 Text21 (4)	Path of WuXia
ending0106f_in0209dead line2 Text21 (5)	Path of WuXia
ending0106f_in0209dead line2 Text21 (6)	Path of WuXia
ending0106f_in0209dead line2 Text21 (7)	Path of WuXia
ending0106f_in0209dead line2 Text21 (8)	Path of WuXia
ending0106f_in0209dead line2 Text21 (9)	Path of WuXia
ending0106f_in0209dead_sub line Text00	Turning the tide
ending0106f_in0209dead_sub line Text01	The belief to eliminate the evil, the ideology to save the world,
ending0106f_in0209dead_sub line Text02	these are so remote, for most of the martial artist in this Jianghu,
ending0106f_in0209dead_sub line Text03	In this Jianghu, what they seek, is the daring in delivering vengeance and justice,
ending0106f_in0209dead_sub line Text04	and the joy of finding a soulmate by chance on the trip.
ending0106f_in0209dead_sub line Text05	The Xia Pavilion, is different,
ending0106f_in0209dead_sub line Text06	The Masters, wish that we would give more value to our martial art,
ending0106f_in0209dead_sub line Text07	The disciples, search their own standard in the world during their study in the Pavilion.
ending0106f_in0209dead_sub line Text08	They would not turn back,when they seek their ideals, and devote themselves in their ideology, 
ending0106f_in0209dead_sub line Text09	yet, they usually did not expect, what they would lose, on these dehumanizing paths.
ending0106f_in0209dead_sub line Text10	Or, they already knew, but decided to leave it all behind to achieve their aim, no matter the cost...
ending0106f_in0209dead_sub line Text11	No, Xia, should not be like this.
ending0106f_in0209dead_sub line Text12	When ideologies, become a blade that tears through bonds, you already have an answer in your heart:
ending0106f_in0209dead_sub line Text13	Even if it would deny what people believe in, you will stop this blade at all cost,
ending0106f_in0209dead_sub line Text14	After that, you will gather everyone's strength, take care of eachother, and defend eachother from the evil of the world.
ending0106f_in0209dead_sub line Text15	No mountain would refuse dust to build its height, an ocean gathers every stream to make it wide,
ending0106f_in0209dead_sub line Text16	You would drink together by the Poyang Lake, share one boat in tides and rain.
ending0106f_in0209dead_sub line Text17	No matter what kind of ordeal will be ahead of you, 
ending0106f_in0209dead_sub line Text18	you will be helping eachother, and facing together.
ending0106f_in0209dead_sub line Text19	This is the Xia Pavilion.
ending0106f_in0209dead_sub line2 Text21 (1)	Path of WuXia
ending0106f_in0209dead_sub line2 Text21 (2)	Path of WuXia
ending0106f_in0209dead_sub line2 Text21 (3)	Path of WuXia
ending0106f_in0209dead_sub line2 Text20	And this is what you would defend, no matter the cost,
ending0106f_in0209dead_sub line2 Text21	Path of WuXia
ending0106f_in0209dead_sub line2 Text21 (4)	Path of WuXia
ending0106f_in0209dead_sub line2 Text21 (5)	Path of WuXia
ending0106f_in0209dead_sub line2 Text21 (6)	Path of WuXia
ending0106f_in0209dead_sub line2 Text21 (7)	Path of WuXia
ending0106f_in0209dead_sub line2 Text21 (8)	Path of WuXia
ending0106f_in0209dead_sub line2 Text21 (9)	Path of WuXia
ending0106f_in0209live title	Turning the tide
ending0106f_in0209live line Text01	The belief to eliminate the evil, the ideology to save the world,
ending0106f_in0209live line Text02	these are so remote, for most of the martial artist in this Jianghu,
ending0106f_in0209live line Text03	In this Jianghu, what they seek, is the daring in delivering vengeance and justice,
ending0106f_in0209live line Text04	and the joy of finding a soulmate by chance on the trip.
ending0106f_in0209live line Text05	The Xia Pavilion, is different,
ending0106f_in0209live line Text06	The Masters, wish that we would give more value to our martial art,
ending0106f_in0209live line Text07	The disciples, search their own standard in the world during their study in the Pavilion.
ending0106f_in0209live line Text08	They would not turn back,when they seek their ideals, and devote themselves in their ideology, 
ending0106f_in0209live line Text09	yet, they usually did not expect, what they would lose, on these dehumanizing paths.
ending0106f_in0209live line Text10	Or, they already knew, but decided to leave it all behind to achieve their aim, no matter the cost...
ending0106f_in0209live line Text11	No, Xia, should not be like this.
ending0106f_in0209live line Text12	When ideologies, become a blade that tears through bonds, you already have an answer in your heart:
ending0106f_in0209live line Text13	Even if it would deny what people believe in, you will stop this blade at all cost,
ending0106f_in0209live line Text14	After that, you will gather everyone's strength, take care of eachother, and defend eachother from the evil of the world.
ending0106f_in0209live line Text15	No mountain would refuse dust to build its height, an ocean gathers every stream to make it wide,
ending0106f_in0209live line Text16	You would drink together by the Poyang Lake, share one boat in tides and rain.
