book_it419000	Tale of the Curly-Bearded Swordsman	七夕段红儿剧情四选一赠送	True	MixedStudy	A book gifted by the Tea Master, told the story of three swordsmen in the Tang Dynasty.	PropsCategory419	2	re804it419000	it419000	0	None	0	Don't understimate this book，it may have a profound truth.	If you are not illiterate，then there is no reason to not read this book! unless...	m607010000	m607010001
book_ma030601	Cunning Sword of Mountains：Vol II	传书考验未过开放	True	MartialArtsBook	Sword techniques of Divine Wind Temple, inspired by the bizzare shaped rocks at Mount Huang. Known for its unpredictable attack directions. Volume II contain the move <color=#FF0000>The Bizzard Cliffs</color>.	PropsCategory403	2	re804ma030601	ma030601	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Divine Wind Temple is known to the Jianghu by their medical skills and palm techniques. Based on such an impression，this swordplay can always attack the enemy by surprise. Hmph... but as it has been tought to many students nowdays，can't be that efficient as it was.	Your Master Jing may be talented in swordsmanship. But unfortunately，most students cannot fully learn even half of her lessons. Ask yourself if your foundation is good enough.	m607010000	m607010001
book_ma030701	Cunning Sword of Mountains：Vol III		True	MartialArtsBook	Sword techniques of Divine Wind Temple, inspired by the bizzare shaped rocks at Mount Huang. Known for its unpredictable attack directions. Volume III contain the move <color=#FF0000>The Covering Clouds</color>.	PropsCategory403	2	re804ma030701	ma030701	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Divine Wind Temple is known to the Jianghu by their medical skills and palm techniques. Based on such an impression，this swordplay can always attack the enemy by surprise. Hmph... but as it has been tought to many students nowdays，can't be that efficient as it was.	Your Master Jing may be talented in swordsmanship. But unfortunately，most students cannot fully learn even half of her lessons. Ask yourself if your foundation is good enough.	m607010000	m607010001
book_ma031101	Whirling Snow Sword：Vol I	七夕帮程墉获得优胜	True	MartialArtsBook	The sword techniques of Crystalline Ice Sword Sect, which is known for its fast and lethal strikes. Volume I contain the move <color=#FF0000>Night Snow in the Mountains</color>.	PropsCategory403	2	re804ma031101	ma031101	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 279}  ], 0} 	Total basic stats up to 280	0	Oh，what's wrong with you {address_3}? Picking up people's swordplay manual is none of my business，but you should be careful with it. The entanglement between Chu Tianbi and those women doesn't need you get involved.	And no matter how you got this book，with your current cultivation，forcing yourself to learn it will only ends up in leading the cold Qi back to bite you. Go back to practice more.	m607010000	m607010001
book_ma032001	Dark Constellation Sword：Vol I	红儿三阶战胜真武道三弟子	True	MartialArtsBook	The sword techniques of Zhenwu Temple, inspired by the formations of the constellations. Volume I contain the move of <color=#FF0000>Descent of Nine Water Wells</color>.	PropsCategory403	2	re804ma032001	ma032001	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 279}  ], 0} 	Total basic stats up to 280	0	Dark Constellation Sword from Zhenwu Temple? Did you get this book by some devious means? Fine，if you want to read it，then go ahead. I have nothing to do with those ox-noses' carelessness.	I do n’t know how you got this book，but with your knowledge，I believe you can't understand a single word about those positions of constellations.	m607010000	m607010001
book_ma040301	Blade of the Boreas：Vol II	课程未达门槛後开放	True	MartialArtsBook	This Sabre techniques from the Flaming Cloud Cave was created by Master Danfeng, the founder of Flaming Cloud Cave, when he was practicing with Master Swordsman Dongfang. It was a snowy day with chilling wind, they both left scar on each other and fought to exhaustion. Volume II contain the move <color=#FF0000>Flying Red Banner</color>.	PropsCategory404	2	re804ma040301	ma040301	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma040401	Blade of the Boreas：Vol III	课程未达门槛後开放	True	MartialArtsBook	This Sabre techniques from the Flaming Cloud Cave was created by Master Danfeng, the founder of Flaming Cloud Cave, when he was practicing with Master Swordsman Dongfang. It was a snowy day with chilling wind, they both left scar on each other and fought to exhaustion. Volume III contain the move <color=#FF0000>Pear Flower Blossom</color>.	PropsCategory404	2	re804ma040401	ma040401	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma041701	Liuhe Blade：Vol I	传书考验未过开放	True	MartialArtsBook	The common blade techniques. Required both internal and external practices. Volume I contain the move <color=#FF0000>Breaking the Waves</color>.	PropsCategory404	2	re804ma041701	ma041701	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Hand-foot joint，elbow-knee joint，and shoulder-crotch joint are called external three "He"; the combination of spirit，thoughts，and strength is called internal three "He". Easy to say but hard to practice.	Huh，by your cultivation, Liuhe as six joint will only be six division on your hand. Go back and practice more.	m607010000	m607010001
book_ma041801	Liuhe Blade：Vol II	传书考验未过开放	True	MartialArtsBook	The common blade techniques. Required both internal and external practices. Volume II contain the move <color=#FF0000>Through the Clouds</color>.	PropsCategory404	2	re804ma041801	ma041801	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Hand-foot joint，elbow-knee joint，and shoulder-crotch joint are called external three "He"; the combination of spirit，thoughts，and strength is called internal three "He". Easy to say but hard to practice.	Huh，by your cultivation, Liuhe as six joint will only be six division on your hand. Go back and practice more.	m607010000	m607010001
book_ma041901	Liuhe Blade：Vol III	四艺大会二探索	True	MartialArtsBook	The common blade techniques. Required both internal and external practices. Volume III contain the move <color=#FF0000>Five Strongman Spliting the Mountains</color>.	PropsCategory404	2	re804ma041901	ma041901	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Hand-foot joint，elbow-knee joint，and shoulder-crotch joint are called external three "He"; the combination of spirit，thoughts，and strength is called internal three "He". Easy to say but hard to practice.	Huh，by your cultivation, Liuhe as six joint will only be six division on your hand. Go back and practice more.	m607010000	m607010001
book_ma050301	Staff of the Five Old Lords：Vol II	课程未达门槛後开放	True	MartialArtsBook	Staff techniques of Xia Pavillion was said to be created by Master Swordsman Dongfang, while he got inspired by the various peaks of Mount Five Old Lords. This technique uses the Staff to cleverly resolve the opponent’s attack. Volume II contain the move <color=#FF0000>A Lone Fisherman</color>.	PropsCategory405	2	re804ma050301	ma050301	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Steping on the next level?  First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma050401	Staff of the Five Old Lords：Vol III	课程未达门槛後开放	True	MartialArtsBook	Staff techniques of Xia Pavillion was said to be created by Master Swordsman Dongfang, while he got inspired by the various peaks of Mount Five Old Lords. This technique uses the Staff to cleverly resolve the opponent’s attack. Volume III contain the move <color=#FF0000>Defense of the Veteran</color>.	PropsCategory405	2	re804ma050401	ma050401	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Steping on the next level?  First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma051101	General Yue Style Spear：Vol I	传书考验未过开放	True	MartialArtsBook	Spear techniques passed down by Yue Fei, a famed general from Song Dynasty. A common skill practice in the military. Volume I contain the move <color=#FF0000>The Invading Viper</color>.	PropsCategory405	2	re804ma051101	ma051101	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	The General Yue Style Spear was formerly known as the king of all spear styles. But today，I'm afraid only two or three of its power remains. However，it is still an important foundation of all kinds spear styles that you cannot ignore.	Huh，seems Tang Sanchang is already an old duffer. Practicing General Yue Style Spear with your current cultivation only makes you hurt yourself or the others. Get out.	m607010000	m607010001
book_ma051201	General Yue Style Spear：Vol II	传书考验未过开放	True	MartialArtsBook	Spear techniques passed down by Yue Fei, a famed general from Song Dynasty. A common skill practice in the military. Volume II contain the move <color=#FF0000>The Destructive Hurricane</color>.	PropsCategory405	2	re804ma051201	ma051201	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	The General Yue Style Spear was formerly known as the king of all spear styles. But today，I'm afraid only two or three of its power remains. However，it is still an important foundation of all kinds spear styles that you cannot ignore.	Huh，seems Tang Sanchang is already an old duffer. Practicing General Yue Style Spear with your current cultivation only makes you hurt yourself or the others. Get out.	m607010000	m607010001
book_ma051301	General Yue Style Spear：Vol III		True	MartialArtsBook	Spear techniques passed down by Yue Fei, a famed general from Song Dynasty. A common skill practice in the military. Volume III contain the move <color=#FF0000>The Hissing White Snake</color>.	PropsCategory405	2	re804ma051301	ma051301	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	The General Yue Style Spear was formerly known as the king of all spear styles. But today，I'm afraid only two or three of its power remains. However，it is still an important foundation of all kinds spear styles that you cannot ignore.	Huh，seems Tang Sanchang is already an old duffer. Practicing General Yue Style Spear with your current cultivation only makes you hurt yourself or the others. Get out.	m607010000	m607010001
book_ma051701	Painting Scroll of the Vast Territory	四艺画长兵招式	True	MartialArtsBook	A painting scroll by the Nothern Song Dynasty prodigy, Wang Ximeng's. The painting and colouring techniques could inspire moves for long range weapons.	PropsCategory405	1	re804ma051701	ma051701	0	None	0	Well... Fusing art into the martial arts? Okay，let's see what you can get.	Humph ... you only had few knowledge in both art and martial arts now. Do you think you can understand anything just by studying from the predecessors? Wake up from your daydreams.	m607010000	m60701051701
book_ma060301	Poetry of Seven Steps：Vol II	课程未达门槛後开放	True	MartialArtsBook	This fan techniques from Hall of the Heavenly Secrets may seem gentle and delicate, but full of potential. Its full power will be released in the most precarious situation. Volume II contain the move <color=#FF0000>Crying of the Boiling Beans</color>.	PropsCategory406	2	re804ma060301	ma060301	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Steping on the next level?  First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma060401	Poetry of Seven Steps：Vol III	课程未达门槛後开放	True	MartialArtsBook	This fan techniques from Hall of the Heavenly Secrets may seem gentle and delicate, but full of potential. Its full power will be released in the most precarious situation. Volume III contain the move <color=#FF0000>Regret of the Kingslayer</color>.	PropsCategory406	2	re804ma060401	ma060401	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Steping on the next level?  First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma060801	Inconsolable Stabs：Vol I	传书考验未过开放	True	MartialArtsBook	The dagger techniques of White Fox Camp. The moves are elegant yet unpredicable. Volume I contain the move <color=#FF0000>Falling Candle Tears</color>.	PropsCategory406	2	re804ma060801	ma060801	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Huh，that fox's style really explaind "Women have the most vicious heart". Yes，it can be done by adding some thorns to the fan，but I do despise this style. So don't expect me to teach you anything about this.	Based on your current cultivation... I'm afraid that fox does want you to be hurt by practicing this technique. Do cherish your own body. 	m607010000	m607010001
book_ma060901	Inconsolable Stabs：Vol II	传书考验未过开放	True	MartialArtsBook	The dagger techniques of White Fox Camp. The moves are elegant yet unpredicable. Volume II contain the move <color=#FF0000>Ineffable Sorrow</color>.	PropsCategory406	2	re804ma060901	ma060901	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Huh，that fox's style really explaind "Women have the most vicious heart". Yes，it can be done by adding some thorns to the fan，but I do despise this style. So don't expect me to teach you anything about this.	Based on your current cultivation... I'm afraid that fox does want you to be hurt by practicing this technique. Do cherish your own body. 	m607010000	m607010001
book_ma06090101	Inconsolable Stabs：Vol III		True	MartialArtsBook	The dagger techniques of White Fox Camp. The moves are elegant yet unpredicable. Volume III contain the move <color=#FF0000>Spring Departs with Sadness</color>.	PropsCategory406	2	re804ma06090101	ma06090101	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Huh，that fox's style really explaind "Women have the most vicious heart". Yes，it can be done by adding some thorns to the fan，but I do despise this style. So don't expect me to teach you anything about this.	Based on your current cultivation... I'm afraid that fox does want you to be hurt by practicing this technique. Do cherish your own body. 	m607010000	m607010001
book_ma061501	Four Ancient Poems	四艺书短兵招式	True	MartialArtsBook	The running style calligraphy of Zhang Xu, nicknamed Divine Grassist and a famed calligrapher of Tang Dyansty. His script might be capable to inspire techniques in daggers.	PropsCategory406	1	re804ma061501	ma061501	0	None	0	Well... Fusing art into the martial arts? Okay，let's see what you can get.	Humph ... you only had few knowledge in both art and martial arts now. Do you think you can understand anything just by studying from the predecessors? Daydreams should wake up.	m607010000	m60701061501
book_ma071101	Leading the Thunder and Wind：Vol II	课程未达门槛後开放	True	MartialArtsBook	The Darts of Hall of Vicissitudes is a technique that relies on control of both the practitioner’s wrist movement as well as slight changes in surrounding air flow to alter the path and acceleration of Darts thrown. Volume II contain the move <color=#FF0000>Lethal Thunder</color>.	PropsCategory407	2	re804ma071101	ma071101	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Training? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma071201	Leading the Thunder and Wind：Vol III	课程未达门槛後开放	True	MartialArtsBook	The Darts of Hall of Vicissitudes is a technique that relies on control of both the practitioner’s wrist movement as well as slight changes in surrounding air flow to alter the path and acceleration of Darts thrown. Volume III contain the move <color=#FF0000>Dread Tempest</color>.	PropsCategory407	2	re804ma071201	ma071201	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Training? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma130101	Nine Acupunction Style：Vol II	传书考验未过开放	True	MartialArtsBook	Acupunction techniques from Divine Wind Temple. Volume I contain the move <color=#FF0000>Method of Mortal Bloods</color>.	PropsCategory409	2	re804ma130101	ma130101	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Well，the acupunction method of Divine Wind Temple could be an unique skill nowdays. Practice it well to make sure you heal people instead of hurt them.	You don't even recognize the acupuncture points. Nobody will expect you healing with this technique. Get out. I won't let you practice it，for saving the world from having one more charlatan.	m607010000	m607010001
book_ma130201	Nine Acupunction Style：Vol I	传书考验未过开放	True	MartialArtsBook	Acupunction techniques from Divine Wind Temple. Volume II contain the move <color=#FF0000>Method of Warm Yang</color>.	PropsCategory409	2	re804ma130201	ma130201	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Well，the acupunction method of Divine Wind Temple could be an unique skill nowdays. Practice it well to make sure you heal people instead of hurt them.	You don't even recognize the acupuncture points. Nobody will expect you healing with this technique. Get out. I won't let you practice it，for saving the world from having one more charlatan.	m607010000	m607010001
book_ma130301	Nine Acupunction Style：Vol III	传书考验未过开放	True	MartialArtsBook	Acupunction techniques from Divine Wind Temple. Volume III contain the move <color=#FF0000>Method of the Triones</color>.	PropsCategory409	3	re804ma130301	ma130301	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Well，the acupunction method of Divine Wind Temple could be an unique skill nowdays. Practice it well to make sure you heal people instead of hurt them.	You don't even recognize the acupuncture points. Nobody will expect you healing with this technique. Get out. I won't let you practice it，for saving the world from having one more charlatan.	m607010000	m607010001
book_ma130701	Guang Ling Zhi Xi	四艺琴医术招式	True	MartialArtsBook	An ancient piece of music, talks about the assassination of the prime minister of Han during the "Warring State" period.	PropsCategory409	1	re804ma130701	ma130701	0	None	0	Well... Fusing art into the martial arts? Okay，let's see what you can get.	Humph... You only had few knowledge in both art and martial arts now. You think you can learn anything just by staring at what your predecessors have written? It's time to wake up from your daydreams.	m607010000	m60701130701
book_xinfa001kangding	Hercules Mantra	初期藏书	True	MantraBook	An internal energy circulation method attributed to Xiang Yu, known as the hegemon-king of Kingdom of Chu. Trains on one's strength to lift a Ding.	PropsCategory418	1	re804xinfa001	xinfa001kangding	0	None	0	Read carefully，The collection of books here are even more important than you!,Don't understimate this book，There is always a reason for it to be widely circulated.,Practicing this method is still helpful even if you have no foundation at all.	If you are not illiterate，then there is no reason to not read this book! unless...	m607010000	m607010001
book_xinfa001kangdinTEST	Hercules Mantra	初期藏书	True	MantraBook	An internal energy circulation method attributed to Xiang Yu, known as the hegemon-king of Kingdom of Chu. Trains on one's strength to lift a Ding.	PropsCategory418	1		xinfa001kangding	0	None	0	Read carefully，The collection of books here are even more important than you!,Don't understimate this book，There is always a reason for it to be widely circulated.,Practicing this method is still helpful even if you have no foundation at all.	If you are not illiterate，then there is no reason to not read this book! unless...	dtest	dtest
book_xinfa002tieyi	Iron Armor Mantra	初期藏书	True	MantraBook	A common technique practiced by street performers, who show off the skills by placing their throat against the tip of a spear.	PropsCategory418	1	re804xinfa002	xinfa002tieyi	0	None	0	Read carefully，The collection of books here are even more important than you!,Don't understimate this book，There is always a reason for it to be widely circulated.,Practicing this method is still helpful even if you have no foundation at all.	If you are not illiterate，then there is no reason to not read this book! unless...	m607010000	m607010001
book_xinfa003ruyan	Nimble Sparrow Mantra	初期藏书	True	MantraBook	In the past years, great hero Jiang Zuo inspired by the soaring sparrow to make this martial art. He often sighs, if the Kunpeng is ever visible, this trick could be at a higher level.	PropsCategory418	1	re804xinfa003	xinfa003ruyan	0	None	0	Read carefully，The collection of books here are even more important than you!,Don't understimate this book，There is always a reason for it to be widely circulated.,Practicing this method is still helpful even if you have no foundation at all.	If you are not illiterate，then there is no reason to not read this book! unless...	m607010000	m607010001
book_xinfa004dingshen	Mantra of Intense Concentration	初期藏书	True	MantraBook	The method of intense concentration. The author known as "The Immortal Xu Gou, the ever clearness of the spiritful peak", and he said that he had proved the truth to become immortal but his personal history is just normal and flat.	PropsCategory418	1	re804xinfa004	xinfa004dingshen	0	None	0	Read carefully，The collection of books here are even more important than you!,Don't understimate this book，There is always a reason for it to be widely circulated.,Practicing this method is still helpful even if you have no foundation at all.	If you are not illiterate，then there is no reason to not read this book! unless...	m607010000	m607010001
